submission_year,main_categories,count,yoy_growth
2022,hep-ex,11,-21.42857142857143
2023,hep-ex,12,9.090909090909083
2024,hep-ex,11,-8.333333333333337
2025,hep-ex,8,-27.27272727272727
1992,hep-lat,1,0.0
1993,hep-lat,2,100.0
1994,hep-lat,2,0.0
1995,hep-lat,2,0.0
1996,hep-lat,2,0.0
1997,hep-lat,1,-50.0
1998,hep-lat,1,0.0
1999,hep-lat,2,100.0
2000,hep-lat,6,200.0
2001,hep-lat,4,-33.333333333333336
2002,hep-lat,2,-50.0
2003,hep-lat,5,150.0
2004,hep-lat,3,-40.0
2005,hep-lat,3,0.0
2006,hep-lat,2,-33.333333333333336
2007,hep-lat,1,-50.0
2008,hep-lat,2,100.0
2009,hep-lat,1,-50.0
2010,hep-lat,4,300.0
2011,hep-lat,1,-75.0
2012,hep-lat,3,200.0
2013,hep-lat,3,0.0
2014,hep-lat,5,66.66666666666667
2015,hep-lat,6,19.999999999999996
2016,hep-lat,7,16.666666666666675
2018,hep-lat,1,-85.71428571428572
2019,hep-lat,3,200.0
2020,hep-lat,4,33.33333333333333
2021,hep-lat,1,-75.0
2022,hep-lat,2,100.0
2023,hep-lat,6,200.0
2024,hep-lat,4,-33.333333333333336
2025,hep-lat,1,-75.0
1993,hep-ph,5,0.0
1994,hep-ph,9,80.0
1995,hep-ph,10,11.111111111111116
1996,hep-ph,16,60.00000000000001
1997,hep-ph,12,-25.0
1998,hep-ph,10,-16.666666666666664
1999,hep-ph,22,120.00000000000001
2000,hep-ph,11,-50.0
2001,hep-ph,20,81.81818181818181
2002,hep-ph,21,5.000000000000004
2003,hep-ph,24,14.28571428571428
2004,hep-ph,19,-20.833333333333336
2005,hep-ph,16,-15.789473684210531
2006,hep-ph,12,-25.0
2007,hep-ph,17,41.66666666666667
2008,hep-ph,17,0.0
2009,hep-ph,22,29.41176470588236
2010,hep-ph,16,-27.27272727272727
2011,hep-ph,15,-6.25
2012,hep-ph,12,-19.999999999999996
2013,hep-ph,21,75.0
2014,hep-ph,19,-9.523809523809524
2015,hep-ph,24,26.315789473684205
2016,hep-ph,25,4.166666666666674
2017,hep-ph,19,-24.0
2018,hep-ph,24,26.315789473684205
2019,hep-ph,32,33.33333333333333
2020,hep-ph,28,-12.5
2021,hep-ph,26,-7.14285714285714
2022,hep-ph,26,0.0
2023,hep-ph,26,0.0
2024,hep-ph,24,-7.692307692307687
2025,hep-ph,24,0.0
1991,hep-th,1,0.0
1992,hep-th,2,100.0
1993,hep-th,10,400.0
1994,hep-th,6,-40.0
1995,hep-th,8,33.33333333333333
1996,hep-th,8,0.0
1997,hep-th,9,12.5
1998,hep-th,9,0.0
1999,hep-th,18,100.0
2000,hep-th,11,-38.888888888888886
2001,hep-th,11,0.0
2002,hep-th,15,36.36363636363635
2003,hep-th,25,66.66666666666667
2004,hep-th,19,-24.0
2005,hep-th,23,21.052631578947366
2006,hep-th,12,-47.82608695652174
2007,hep-th,16,33.33333333333333
2008,hep-th,14,-12.5
2009,hep-th,23,64.28571428571428
2010,hep-th,23,0.0
2011,hep-th,19,-17.391304347826086
2012,hep-th,24,26.315789473684205
2013,hep-th,21,-12.5
2014,hep-th,21,0.0
2015,hep-th,16,-23.809523809523814
2016,hep-th,23,43.75
2017,hep-th,20,-13.043478260869568
2018,hep-th,26,30.000000000000004
2019,hep-th,38,46.153846153846146
2020,hep-th,26,-31.57894736842105
2021,hep-th,33,26.923076923076916
2022,hep-th,17,-48.484848484848484
2023,hep-th,23,35.29411764705883
2024,hep-th,26,13.043478260869556
2025,hep-th,24,-7.692307692307687
1994,math,2,0.0
1995,math,4,100.0
1996,math,7,75.0
1997,math,10,42.85714285714286
1998,math,7,-30.000000000000004
1999,math,12,71.42857142857142
2000,math,24,100.0
2001,math,14,-41.666666666666664
2002,math,42,200.0
2003,math,41,-2.3809523809523836
2004,math,57,39.02439024390243
2005,math,52,-8.771929824561408
2006,math,50,-3.8461538461538436
2007,math,80,60.00000000000001
2008,math,83,3.750000000000009
2009,math,71,-14.457831325301207
2010,math,106,49.29577464788733
2011,math,114,7.547169811320753
2012,math,123,7.8947368421052655
2013,math,125,1.6260162601626105
2014,math,124,-0.8000000000000007
2015,math,162,30.645161290322577
2016,math,184,13.58024691358024
2017,math,193,4.891304347826098
2018,math,194,0.5181347150259086
2019,math,210,8.247422680412363
2020,math,206,-1.904761904761909
2021,math,200,-2.9126213592232997
2022,math,219,9.499999999999996
2023,math,231,5.47945205479452
2024,math,210,-9.090909090909093
2025,math,219,4.285714285714293
1997,math-ph,2,0.0
1998,math-ph,2,0.0
1999,math-ph,3,50.0
2000,math-ph,8,166.66666666666666
2001,math-ph,3,-62.5
2002,math-ph,9,200.0
2003,math-ph,8,-11.111111111111116
2004,math-ph,6,-25.0
2005,math-ph,3,-50.0
2006,math-ph,11,266.66666666666663
2007,math-ph,14,27.27272727272727
2008,math-ph,8,-42.85714285714286
2009,math-ph,11,37.5
2010,math-ph,13,18.181818181818187
2011,math-ph,12,-7.692307692307687
2012,math-ph,17,41.66666666666667
2013,math-ph,12,-29.411764705882348
2014,math-ph,11,-8.333333333333337
2015,math-ph,16,45.45454545454546
2016,math-ph,14,-12.5
2017,math-ph,7,-50.0
2018,math-ph,16,128.57142857142856
2019,math-ph,16,0.0
2020,math-ph,22,37.5
2021,math-ph,13,-40.90909090909091
2022,math-ph,17,30.76923076923077
2023,math-ph,16,-5.882352941176472
2024,math-ph,14,-12.5
2025,math-ph,17,21.42857142857142
1995,mtrl-th,1,0.0
1996,mtrl-th,1,0.0
1994,nlin,2,0.0
1995,nlin,1,-50.0
1996,nlin,6,500.0
1997,nlin,5,-16.666666666666664
1998,nlin,6,19.999999999999996
1999,nlin,3,-50.0
2000,nlin,1,-66.66666666666667
2001,nlin,3,200.0
2002,nlin,3,0.0
2003,nlin,2,-33.333333333333336
2004,nlin,6,200.0
2005,nlin,3,-50.0
2006,nlin,5,66.66666666666667
2007,nlin,6,19.999999999999996
2008,nlin,8,33.33333333333333
2009,nlin,2,-75.0
2010,nlin,4,100.0
2011,nlin,5,25.0
2012,nlin,3,-40.0
2013,nlin,5,66.66666666666667
2014,nlin,3,-40.0
2015,nlin,9,200.0
2016,nlin,11,22.222222222222232
2017,nlin,8,-27.27272727272727
2018,nlin,7,-12.5
2019,nlin,6,-14.28571428571429
2020,nlin,6,0.0
2021,nlin,6,0.0
2022,nlin,3,-50.0
2023,nlin,8,166.66666666666666
2024,nlin,9,12.5
2025,nlin,8,-11.111111111111116
1997,nucl-ex,1,0.0
1999,nucl-ex,3,200.0
2002,nucl-ex,3,0.0
2003,nucl-ex,1,-66.66666666666667
2005,nucl-ex,2,100.0
2006,nucl-ex,3,50.0
2007,nucl-ex,1,-66.66666666666667
2008,nucl-ex,1,0.0
2009,nucl-ex,7,600.0
2010,nucl-ex,2,-71.42857142857143
2011,nucl-ex,5,150.0
2012,nucl-ex,4,-19.999999999999996
2013,nucl-ex,3,-25.0
2014,nucl-ex,8,166.66666666666666
2015,nucl-ex,6,-25.0
2016,nucl-ex,3,-50.0
2017,nucl-ex,2,-33.333333333333336
2018,nucl-ex,5,150.0
2019,nucl-ex,5,0.0
2020,nucl-ex,6,19.999999999999996
2021,nucl-ex,5,-16.666666666666664
2022,nucl-ex,7,39.99999999999999
2023,nucl-ex,6,-14.28571428571429
2024,nucl-ex,1,-83.33333333333334
2025,nucl-ex,4,300.0
1992,nucl-th,1,0.0
1993,nucl-th,2,100.0
1994,nucl-th,2,0.0
1995,nucl-th,5,150.0
1997,nucl-th,4,-19.999999999999996
1998,nucl-th,4,0.0
1999,nucl-th,5,25.0
2000,nucl-th,2,-60.0
2001,nucl-th,3,50.0
2002,nucl-th,4,33.33333333333333
2003,nucl-th,7,75.0
2004,nucl-th,4,-42.85714285714286
2005,nucl-th,6,50.0
2006,nucl-th,5,-16.666666666666664
2007,nucl-th,4,-19.999999999999996
2008,nucl-th,2,-50.0
2009,nucl-th,4,100.0
2010,nucl-th,6,50.0
2011,nucl-th,9,50.0
2012,nucl-th,7,-22.22222222222222
2013,nucl-th,8,14.28571428571428
2014,nucl-th,5,-37.5
2015,nucl-th,10,100.0
2016,nucl-th,10,0.0
2017,nucl-th,7,-30.000000000000004
2018,nucl-th,10,42.85714285714286
2019,nucl-th,6,-40.0
2020,nucl-th,9,50.0
2021,nucl-th,8,-11.111111111111116
2022,nucl-th,7,-12.5
2023,nucl-th,14,100.0
2024,nucl-th,3,-78.57142857142857
2025,nucl-th,10,233.33333333333334
1996,patt-sol,3,0.0
1997,patt-sol,1,-66.66666666666667
1998,patt-sol,1,0.0
1996,physics,1,0.0
1997,physics,1,0.0
1998,physics,3,200.0
1999,physics,5,66.66666666666667
2000,physics,5,0.0
2001,physics,4,-19.999999999999996
2002,physics,7,75.0
2003,physics,12,71.42857142857142
2004,physics,8,-33.333333333333336
2005,physics,13,62.5
2006,physics,14,7.692307692307687
2007,physics,22,57.14285714285714
2008,physics,25,13.636363636363647
2009,physics,36,43.99999999999999
2010,physics,24,-33.333333333333336
2011,physics,37,54.16666666666667
2012,physics,39,5.405405405405395
2013,physics,59,51.28205128205128
2014,physics,49,-16.94915254237288
2015,physics,59,20.408163265306122
2016,physics,57,-3.3898305084745783
2017,physics,53,-7.017543859649122
2018,physics,82,54.71698113207548
2019,physics,80,-2.4390243902439046
2020,physics,79,-1.2499999999999956
2021,physics,78,-1.2658227848101222
2022,physics,105,34.61538461538463
2023,physics,85,-19.047619047619047
2024,physics,78,-8.235294117647063
2025,physics,98,25.64102564102564
1995,q-alg,2,0.0
1996,q-alg,3,50.0
1997,q-alg,4,33.33333333333333
1994,q-bio,1,0.0
