submission_year,main_categories,count,total,proportion
2003,quant-ph,6,238,0.025210084033613446
2004,astro-ph,35,234,0.14957264957264957
2004,cond-mat,45,234,0.19230769230769232
2004,cs,8,234,0.03418803418803419
2004,gr-qc,8,234,0.03418803418803419
2004,hep-ex,4,234,0.017094017094017096
2004,hep-lat,3,234,0.01282051282051282
2004,hep-ph,19,234,0.0811965811965812
2004,hep-th,19,234,0.0811965811965812
2004,math,57,234,0.24358974358974358
2004,math-ph,6,234,0.02564102564102564
2004,nlin,6,234,0.02564102564102564
2004,nucl-th,4,234,0.017094017094017096
2004,physics,8,234,0.03418803418803419
2004,q-bio,2,234,0.008547008547008548
2004,quant-ph,10,234,0.042735042735042736
2005,astro-ph,36,253,0.1422924901185771
2005,cond-mat,51,253,0.2015810276679842
2005,cs,8,253,0.03162055335968379
2005,gr-qc,12,253,0.04743083003952569
2005,hep-ex,7,253,0.02766798418972332
2005,hep-lat,3,253,0.011857707509881422
2005,hep-ph,16,253,0.06324110671936758
2005,hep-th,23,253,0.09090909090909091
2005,math,52,253,0.20553359683794467
2005,math-ph,3,253,0.011857707509881422
2005,nlin,3,253,0.011857707509881422
2005,nucl-ex,2,253,0.007905138339920948
2005,nucl-th,6,253,0.023715415019762844
2005,physics,13,253,0.05138339920948617
2005,q-bio,5,253,0.019762845849802372
2005,q-fin,3,253,0.011857707509881422
2005,quant-ph,8,253,0.03162055335968379
2005,stat,2,253,0.007905138339920948
2006,astro-ph,49,240,0.20416666666666666
2006,cond-mat,33,240,0.1375
2006,cs,4,240,0.016666666666666666
2006,gr-qc,10,240,0.041666666666666664
2006,hep-ex,7,240,0.029166666666666667
2006,hep-lat,2,240,0.008333333333333333
2006,hep-ph,12,240,0.05
2006,hep-th,12,240,0.05
2006,math,50,240,0.20833333333333334
2006,math-ph,11,240,0.04583333333333333
2006,nlin,5,240,0.020833333333333332
2006,nucl-ex,3,240,0.0125
2006,nucl-th,5,240,0.020833333333333332
2006,physics,14,240,0.058333333333333334
2006,q-bio,5,240,0.020833333333333332
2006,quant-ph,14,240,0.058333333333333334
2006,stat,4,240,0.016666666666666666
2007,astro-ph,34,274,0.12408759124087591
2007,cond-mat,51,274,0.18613138686131386
2007,cs,5,274,0.01824817518248175
2007,gr-qc,6,274,0.021897810218978103
2007,hep-ex,3,274,0.010948905109489052
2007,hep-lat,1,274,0.0036496350364963502
2007,hep-ph,17,274,0.06204379562043796
2007,hep-th,16,274,0.058394160583941604
2007,math,80,274,0.291970802919708
2007,math-ph,14,274,0.051094890510948905
